 , , , CODE/TEST SIM , , , , 
Project , Module , TF-IDF , SO W2V , SpaCy , FastText , CODE/DOC SIM , TEST/DOC SIM  
 , dubbo-cluster ,0.695,0.932,0.965,0.989, , 
 , dubbo-common ,0.608,0.953,0.977,0.992, , 
 , dubbo-compatible ,0.486,0.906,0.965,0.981, , 
 , dubbo-config ,0.517,0.946,0.966,0.988, , 
 , dubbo-configcenter ,0.687,0.952,0.968,0.987, , 
 , dubbo-container ,0.679,0.851,0.845,0.898, , 
P1 , dubbo-filter ,0.523,0.848,0.915,0.967,0.02,0.019
 , dubbo-metadata ,0.683,0.945,0.977,0.984, , 
 , dubbo-monitor ,0.764,0.932,0.966,0.988, , 
 , dubbo-plugin ,0.493,0.936,0.974,0.987, , 
 , dubbo-registry ,0.901,0.988,0.99,0.994, , 
 , dubbo-remoting ,0.841,0.976,0.988,0.995, , 
 , dubbo-rpc ,0.281,0.832,0.932,0.97, , 
 , dubbo-serialization ,0.506,0.896,0.952,0.979, , 
 ,,,,,,,
 , apm-commons ,0.327,0.848,0.939,0.956, , 
P2 , apm-protocol ,0.188,0.729,0.886,0.897,0.026,0.04
 , apm-webapp ,0.043,0.579,0.727,0.78, , 
 , oap-server ,0.811,0.978,0.993,0.996, , 
 ,,,,,,,
 , flink-clients ,0.821,0.979,0.99,0.994, , 
 , flink-connectors ,0.825,0.982,0.992,0.998, , 
 , flink-container ,0.478,0.787,0.868,0.959, , 
 , flink-contrib ,0.216,0.722,0.886,0.945, , 
 , flink-core ,0.83,0.975,0.99,0.995, , 
 , flink-docs ,0.61,0.924,0.97,0.984, , 
 , flink-dstl ,0.59,0.923,0.956,0.973, , 
 , flink-examples ,0.182,0.867,0.953,0.964, , 
 , flink-external-resources ,0.496,0.794,0.915,0.927, , 
 , flink-filesystems ,0.522,0.945,0.975,0.991, , 
 , flink-formats ,0.76,0.974,0.984,0.989, , 
 , flink-java ,0.654,0.967,0.986,0.989, , 
 P3 , flink-kubernetes ,0.899,0.99,0.995,0.996,0.015,0.009
 , flink-libraries ,0.697,0.967,0.978,0.993, , 
 , flink-metrics ,0.842,0.976,0.985,0.993, , 
 , flink-optimizer ,0.399,0.918,0.956,0.967, , 
 , flink-python ,0.758,0.974,0.984,0.99, , 
 , flink-queryable-state ,0.674,0.953,0.982,0.987, , 
 , flink-rpc ,0.854,0.983,0.988,0.993, , 
 , flink-runtime ,0.918,0.989,0.997,0.998, , 
 , flink-runtime-web ,0.748,0.975,0.988,0.988, , 
 , flink-scala ,0.598,0.907,0.948,0.979, , 
 , flink-state-backends ,0.883,0.992,0.995,0.997, , 
 , flink-streaming-java ,0.889,0.993,0.997,0.998, , 
 , flink-streaming-scala ,0.065,0.476,0.824,0.892, , 
 , flink-table ,0.843,0.991,0.996,0.997, , 
 , flink-yarn ,0.822,0.968,0.989,0.995, , 
